Produto; Preço ;Tipo;Tecnologia;Família;IR
VS GOLD COMFORT IA D0.60 1.59 TRANSITIONS GREEN; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.60 1.59 TRANSITIONS RUBY; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.60 1.59 TRANSITIONS SAPPHIRE; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.60 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 4.114 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.59
VS GOLD COMFORT IA D0.60 1.61; R$ 2.761 ;Visão Simples;Incolor;Linha IA;1.61
VS GOLD COMFORT IA D0.60 1.61 BLUE; R$ 2.992 ;Visão Simples;Bluecut;Linha IA;1.61
VS GOLD COMFORT IA D0.60 1.61 PHOTO; R$ 3.520 ;Visão Simples;Fotossensível;Linha IA;1.61
VS GOLD COMFORT IA D0.60 1.67; R$ 4.238 ;Visão Simples;Incolor;Linha IA;1.67
VS GOLD COMFORT IA D0.60 1.67 BLUE; R$ 4.628 ;Visão Simples;Bluecut;Linha IA;1.67
VS GOLD COMFORT IA D0.60 1.67 PHOTO; R$ 5.175 ;Visão Simples;Fotossensível;Linha IA;1.67
VS GOLD COMFORT IA D0.60 1.67 TRANSITIONS; R$ 8.905 ;Visão Simples;Transitions;Linha IA;1.67
VS GOLD COMFORT IA D0.60 1.74; R$ 4.225 ;Visão Simples;Incolor;Linha IA;1.74
VS GOLD COMFORT IA D0.60 1.74 TRANSITIONS; R$ 9.195 ;Visão Simples;Transitions;Linha IA;1.74
VS GOLD COMFORT IA D0.80 1.50; R$ 2.112 ;Visão Simples;Incolor;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.56 BLUE; R$ 2.310 ;Visão Simples;Bluecut;Linha IA;1.56
VS GOLD COMFORT IA D0.80 1.56 PHOTO; R$ 2.808 ;Visão Simples;Fotossensível;Linha IA;1.56
VS GOLD COMFORT IA D0.80 1.50 POLARIZADO CINZA; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 POLARIZADO G15; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 POLARIZADO MARROM; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS AMBAR; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS AMETHYST; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS BROWN; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS CINZA; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS EMERALD; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS GREEN; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS RUBY; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS SAPPHIRE; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 3.751 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.50
VS GOLD COMFORT IA D0.80 1.59; R$ 2.652 ;Visão Simples;Incolor;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 BLUE; R$ 2.698 ;Visão Simples;Bluecut;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 PHOTO; R$ 4.953 ;Visão Simples;Fotossensível;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 POLARIZADO CINZA; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 POLARIZADO G15; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 POLARIZADO MARROM; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS AMBAR; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS AMETHYST; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS BROWN; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS CINZA; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS EMERALD; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS GREEN; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS RUBY; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS SAPPHIRE; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 4.114 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.59
VS GOLD COMFORT IA D0.80 1.61; R$ 2.761 ;Visão Simples;Incolor;Linha IA;1.61
VS GOLD COMFORT IA D0.80 1.61 BLUE; R$ 2.992 ;Visão Simples;Bluecut;Linha IA;1.61
VS GOLD COMFORT IA D0.80 1.61 PHOTO; R$ 3.520 ;Visão Simples;Fotossensível;Linha IA;1.61
VS GOLD COMFORT IA D0.80 1.67; R$ 4.088 ;Visão Simples;Incolor;Linha IA;1.67
VS GOLD COMFORT IA D0.80 1.67 BLUE; R$ 4.448 ;Visão Simples;Bluecut;Linha IA;1.67
VS GOLD COMFORT IA D0.80 1.67 PHOTO; R$ 4.973 ;Visão Simples;Fotossensível;Linha IA;1.67
VS GOLD COMFORT IA D0.80 1.67 TRANSITIONS; R$ 8.905 ;Visão Simples;Transitions;Linha IA;1.67
VS GOLD COMFORT IA D0.80 1.74; R$ 4.225 ;Visão Simples;Incolor;Linha IA;1.74
VS GOLD COMFORT IA D0.80 1.74 TRANSITIONS; R$ 9.195 ;Visão Simples;Transitions;Linha IA;1.74
VS GOLD COMFORT IA D1.00 1.50; R$ 2.214 ;Visão Simples;Incolor;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.56 BLUE; R$ 2.310 ;Visão Simples;Bluecut;Linha IA;1.56
VS GOLD COMFORT IA D1.00 1.56 PHOTO; R$ 2.808 ;Visão Simples;Fotossensível;Linha IA;1.56
VS GOLD COMFORT IA D1.00 1.50 POLARIZADO CINZA; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 POLARIZADO G15; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 POLARIZADO MARROM; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS AMBAR; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS AMETHYST; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS BROWN; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS CINZA; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS EMERALD; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS GREEN; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS RUBY; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS SAPPHIRE; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 3.751 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.50
VS GOLD COMFORT IA D1.00 1.59; R$ 2.652 ;Visão Simples;Incolor;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 BLUE; R$ 2.698 ;Visão Simples;Bluecut;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 PHOTO; R$ 4.589 ;Visão Simples;Fotossensível;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 POLARIZADO CINZA; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 POLARIZADO G15; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 POLARIZADO MARROM; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS AMBAR; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS AMETHYST; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS BROWN; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS CINZA; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS EMERALD; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS GREEN; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS RUBY; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS SAPPHIRE; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 4.114 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.59
VS GOLD COMFORT IA D1.00 1.61; R$ 2.855 ;Visão Simples;Incolor;Linha IA;1.61
VS GOLD COMFORT IA D1.00 1.61 BLUE; R$ 3.102 ;Visão Simples;Bluecut;Linha IA;1.61
VS GOLD COMFORT IA D1.00 1.61 PHOTO; R$ 3.663 ;Visão Simples;Fotossensível;Linha IA;1.61
VS GOLD COMFORT IA D1.00 1.67; R$ 4.238 ;Visão Simples;Incolor;Linha IA;1.67
VS GOLD COMFORT IA D1.00 1.67 BLUE; R$ 4.628 ;Visão Simples;Bluecut;Linha IA;1.67
VS GOLD COMFORT IA D1.00 1.67 PHOTO; R$ 5.175 ;Visão Simples;Fotossensível;Linha IA;1.67
VS GOLD COMFORT IA D1.00 1.67 TRANSITIONS; R$ 8.905 ;Visão Simples;Transitions;Linha IA;1.67
VS GOLD COMFORT IA D1.00 1.74; R$ 4.225 ;Visão Simples;Incolor;Linha IA;1.74
VS GOLD COMFORT IA D1.00 1.74 TRANSITIONS; R$ 9.195 ;Visão Simples;Transitions;Linha IA;1.74
VS GOLD COMFORT IA D1.25 1.50; R$ 2.214 ;Visão Simples;Incolor;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.56 BLUE; R$ 2.310 ;Visão Simples;Bluecut;Linha IA;1.56
VS GOLD COMFORT IA D1.25 1.56 PHOTO; R$ 2.568 ;Visão Simples;Fotossensível;Linha IA;1.56
VS GOLD COMFORT IA D1.25 1.50 POLARIZADO CINZA; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 POLARIZADO G15; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 POLARIZADO MARROM; R$ 3.062 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS AMBAR; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS AMETHYST; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS BROWN; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS CINZA; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS EMERALD; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS GREEN; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS RUBY; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS SAPPHIRE; R$ 3.462 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 3.751 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.50
VS GOLD COMFORT IA D1.25 1.59; R$ 2.516 ;Visão Simples;Incolor;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 BLUE; R$ 2.555 ;Visão Simples;Bluecut;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 PHOTO; R$ 4.589 ;Visão Simples;Fotossensível;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 POLARIZADO CINZA; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 POLARIZADO G15; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 POLARIZADO MARROM; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS AMBAR; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS AMETHYST; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS BROWN; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS CINZA; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS EMERALD; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS GREEN; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS RUBY; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS SAPPHIRE; R$ 3.949 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 4.114 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.59
VS GOLD COMFORT IA D1.25 1.61; R$ 2.855 ;Visão Simples;Incolor;Linha IA;1.61
VS GOLD COMFORT IA D1.25 1.61 BLUE; R$ 3.102 ;Visão Simples;Bluecut;Linha IA;1.61
VS GOLD COMFORT IA D1.25 1.61 PHOTO; R$ 3.663 ;Visão Simples;Fotossensível;Linha IA;1.61
VS GOLD COMFORT IA D1.25 1.67; R$ 4.238 ;Visão Simples;Incolor;Linha IA;1.67
VS GOLD COMFORT IA D1.25 1.67 BLUE; R$ 4.628 ;Visão Simples;Bluecut;Linha IA;1.67
VS GOLD COMFORT IA D1.25 1.67 PHOTO; R$ 5.175 ;Visão Simples;Fotossensível;Linha IA;1.67
VS GOLD COMFORT IA D1.25 1.67 TRANSITIONS; R$ 8.905 ;Visão Simples;Transitions;Linha IA;1.67
VS GOLD COMFORT IA D1.25 1.74; R$ 4.225 ;Visão Simples;Incolor;Linha IA;1.74
VS GOLD COMFORT IA D1.25 1.74 TRANSITIONS; R$ 9.195 ;Visão Simples;Transitions;Linha IA;1.74
VS GOLD PREMIUM IA 1.50; R$ 2.562 ;Visão Simples;Incolor;Linha IA;1.50
VS GOLD PREMIUM IA 1.56 BLUE; R$ 2.646 ;Visão Simples;Bluecut;Linha IA;1.56
VS GOLD PREMIUM IA 1.56 PHOTO; R$ 2.716 ;Visão Simples;Fotossensível;Linha IA;1.56
VS GOLD PREMIUM IA 1.50 POLARIZADO CINZA; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 POLARIZADO G15; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 POLARIZADO MARROM; R$ 3.297 ;Visão Simples;Polarizado;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS AMBAR; R$ 3.563 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS AMETHYST; R$ 3.563 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS BROWN; R$ 3.563 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS CINZA; R$ 3.563 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS EMERALD; R$ 3.563 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS GREEN; R$ 3.563 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS RUBY; R$ 3.563 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS SAPPHIRE; R$ 3.563 ;Visão Simples;Transitions GEN-S;Linha IA;1.50
VS GOLD PREMIUM IA 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 3.983 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.50
VS GOLD PREMIUM IA 1.56 ESPELHADO BLUE; R$ 3.115 ;Visão Simples;Espelhado;Linha IA;1.56
VS GOLD PREMIUM IA 1.56 ESPELHADO ORANGE; R$ 3.115 ;Visão Simples;Espelhado;Linha IA;1.56
VS GOLD PREMIUM IA 1.56 ESPELHADO ROSE; R$ 3.115 ;Visão Simples;Espelhado;Linha IA;1.56
VS GOLD PREMIUM IA 1.56 ESPELHADO SILVER; R$ 3.115 ;Visão Simples;Espelhado;Linha IA;1.56
VS GOLD PREMIUM IA 1.59; R$ 2.784 ;Visão Simples;Incolor;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 BLUE; R$ 2.952 ;Visão Simples;Bluecut;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 PHOTO; R$ 4.208 ;Visão Simples;Fotossensível;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 POLARIZADO CINZA; R$ 3.768 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 POLARIZADO G15; R$ 3.768 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 POLARIZADO MARROM; R$ 3.768 ;Visão Simples;Polarizado;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS AMBAR; R$ 3.575 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS AMETHYST; R$ 3.575 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS BROWN; R$ 3.575 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS CINZA; R$ 3.575 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS EMERALD; R$ 3.575 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS GREEN; R$ 3.575 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS RUBY; R$ 3.575 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS SAPPHIRE; R$ 3.575 ;Visão Simples;Transitions GEN-S;Linha IA;1.59
VS GOLD PREMIUM IA 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 3.920 ;Visão Simples;Transitions Xtractive 2.0;Linha IA;1.59
VS GOLD PREMIUM IA 1.61; R$ 3.045 ;Visão Simples;Incolor;Linha IA;1.61
VS GOLD PREMIUM IA 1.61 BLUE; R$ 3.180 ;Visão Simples;Bluecut;Linha IA;1.61
VS GOLD PREMIUM IA 1.61 PHOTO; R$ 4.185 ;Visão Simples;Fotossensível;Linha IA;1.61
VS GOLD PREMIUM IA 1.67; R$ 4.383 ;Visão Simples;Incolor;Linha IA;1.67
VS GOLD PREMIUM IA 1.67 BLUE; R$ 4.743 ;Visão Simples;Bluecut;Linha IA;1.67
VS GOLD PREMIUM IA 1.67 PHOTO; R$ 5.580 ;Visão Simples;Fotossensível;Linha IA;1.67
VS GOLD PREMIUM IA 1.67 TRANSITIONS; R$ 8.850 ;Visão Simples;Transitions;Linha IA;1.67
VS GOLD PREMIUM IA 1.74; R$ 4.842 ;Visão Simples;Incolor;Linha IA;1.74
VS GOLD PREMIUM IA 1.74 TRANSITIONS; R$ 10.074 ;Visão Simples;Transitions;Linha IA;1.74
VS GOLD COMFORT 1.50; R$ 900 ;Visão Simples;Incolor;Linha Tradicional;1.50
VS GOLD COMFORT 1.56 BLUE; R$ 925 ;Visão Simples;Bluecut;Linha Tradicional;1.56
VS GOLD COMFORT 1.50 PHOTO; R$ 1.210 ;Visão Simples;Fotossensível;Linha Tradicional;1.50
VS GOLD COMFORT 1.50 TRANSITIONS; R$ 1.845 ;Visão Simples;Transitions;Linha Tradicional;1.50
VS GOLD COMFORT POLY; R$ 1.005 ;Visão Simples;Incolor;Linha Tradicional;1.59
VS GOLD COMFORT POLY BLUE; R$ 1.025 ;Visão Simples;Bluecut;Linha Tradicional;1.59
VS GOLD COMFORT POLY PHOTO; R$ 2.230 ;Visão Simples;Fotossensível;Linha Tradicional;1.59
VS GOLD COMFORT POLY TRANSITIONS; R$ 2.086 ;Visão Simples;Transitions;Linha Tradicional;1.59
VS GOLD COMFORT 1.61; R$ 1.364 ;Visão Simples;Incolor;Linha Tradicional;1.61
VS GOLD COMFORT 1.61 BLUE; R$ 1.517 ;Visão Simples;Bluecut;Linha Tradicional;1.61
VS GOLD COMFORT 1.61 PHOTO; R$ 1.868 ;Visão Simples;Fotossensível;Linha Tradicional;1.61
VS GOLD COMFORT 1.67; R$ 2.704 ;Visão Simples;Incolor;Linha Tradicional;1.67
VS GOLD COMFORT 1.67 BLUE; R$ 3.016 ;Visão Simples;Bluecut;Linha Tradicional;1.67
VS GOLD COMFORT 1.67 PHOTO; R$ 3.472 ;Visão Simples;Fotossensível;Linha Tradicional;1.67
VS GOLD COMFORT 1.67 TRANSITIONS; R$ 5.708 ;Visão Simples;Transitions;Linha Tradicional;1.67
VS GOLD COMFORT 1.74; R$ 2.476 ;Visão Simples;Incolor;Linha Tradicional;1.74
VS GOLD COMFORT 1.74 TRANSITIONS; R$ 6.596 ;Visão Simples;Transitions;Linha Tradicional;1.74
VS GOLD PREMIUM 1.50; R$ 528 ;Visão Simples;Incolor;Linha Tradicional;1.50
VS GOLD PREMIUM 1.56 BLUE; R$ 656 ;Visão Simples;Bluecut;Linha Tradicional;1.56
VS GOLD PREMIUM 1.50 PHOTO; R$ 944 ;Visão Simples;Fotossensível;Linha Tradicional;1.50
VS GOLD PREMIUM 1.50 TRANSITIONS; R$ 1.771 ;Visão Simples;Transitions;Linha Tradicional;1.50
VS GOLD PREMIUM 1.50 ESPELHADO BLUE; R$ 1.470 ;Visão Simples;Espelhado;Linha Tradicional;1.50
VS GOLD PREMIUM 1.50 ESPELHADO ORANGE; R$ 1.470 ;Visão Simples;Espelhado;Linha Tradicional;1.50
VS GOLD PREMIUM 1.50 ESPELHADO ROSE; R$ 1.470 ;Visão Simples;Espelhado;Linha Tradicional;1.50
VS GOLD PREMIUM 1.50 ESPELHADO SILVER; R$ 1.470 ;Visão Simples;Espelhado;Linha Tradicional;1.50
VS GOLD PREMIUM 1.50 POLARIZADO CINZA; R$ 1.624 ;Visão Simples;Polarizado;Linha Tradicional;1.50
VS GOLD PREMIUM 1.50 POLARIZADO G15; R$ 1.624 ;Visão Simples;Polarizado;Linha Tradicional;1.50
VS GOLD PREMIUM 1.50 POLARIZADO MARROM; R$ 1.624 ;Visão Simples;Polarizado;Linha Tradicional;1.50
VS GOLD PREMIUM POLY; R$ 693 ;Visão Simples;Incolor;Linha Tradicional;1.59
VS GOLD PREMIUM POLY BLUE; R$ 714 ;Visão Simples;Bluecut;Linha Tradicional;1.59
VS GOLD PREMIUM POLY PHOTO; R$ 1.953 ;Visão Simples;Fotossensível;Linha Tradicional;1.59
VS GOLD PREMIUM POLY TRANSITIONS; R$ 3.240 ;Visão Simples;Transitions;Linha Tradicional;1.59
VS GOLD PREMIUM 1.61; R$ 1.183 ;Visão Simples;Incolor;Linha Tradicional;1.61
VS GOLD PREMIUM 1.61 BLUE; R$ 1.344 ;Visão Simples;Bluecut;Linha Tradicional;1.61
VS GOLD PREMIUM 1.61 PHOTO; R$ 1.996 ;Visão Simples;Fotossensível;Linha Tradicional;1.61
VS GOLD PREMIUM 1.67; R$ 1.722 ;Visão Simples;Incolor;Linha Tradicional;1.67
VS GOLD PREMIUM 1.67 BLUE; R$ 1.960 ;Visão Simples;Bluecut;Linha Tradicional;1.67
VS GOLD PREMIUM 1.67 PHOTO; R$ 2.340 ;Visão Simples;Fotossensível;Linha Tradicional;1.67
VS GOLD PREMIUM 1.67 TRANSITIONS; R$ 8.226 ;Visão Simples;Transitions;Linha Tradicional;1.67
VS GOLD PREMIUM 1.74; R$ 3.634 ;Visão Simples;Incolor;Linha Tradicional;1.74
VS GOLD PREMIUM 1.74 TRANSITIONS; R$ 8.628 ;Visão Simples;Transitions;Linha Tradicional;1.74
AR CLEAN GREEN (VERDE)  ; R$ 168 ;Antirreflexo;AR Normal;Tratamento;-
AR CLEAN BLUE (AZUL); R$ 267 ;Antirreflexo;AR Normal;Tratamento;-
AR PREMIUM GREEN (VERDE) ; R$ 597 ;Antirreflexo;AR SH;Tratamento;-
